"","SampleID","Date","Month","Year","Individual","SampleType","NumberReads","Unit","AgeYear","AgeMonth","AgeMonth_cat","Weaned","Sex","Parity","MomRank","MomRank_cat","Season","Rain30","Rain30_cat","MinT30","MinT30_cat","ReproState","Mother","MatchedMomSample"
"LID_103519","LID_103519",2018-05-02,"5","2018","F23","Adult female",413372,"C5",8.273972603,99.016393442623,">18",NA,"Female",NA,NA,NA,"HotDry",41.3,"Dry",9.148387097,"Hot","Cycling",NA,NA
"LID_103527","LID_103527",2018-04-10,"4","2018","F60","Adult female",77499,"T1",10.91232877,130.590163934426,">18",NA,"Female",NA,NA,NA,"HotDry",25.9,"Dry",8.416129032,"Hot",NA,NA,NA
"LID_103532","LID_103532",2018-04-06,"4","2018","F58","Adult female",182289,"B5",5.117808219,61.2459016393443,">18",NA,"Female",NA,NA,NA,"HotDry",25.9,"Dry",8.39,"Hot","Cycling",NA,NA
"LID_103544","LID_103544",2018-07-13,"7","2018","F12","Adult female",124606,"B3",12.62191781,151.049180327869,">18",NA,"Female",NA,NA,NA,"ColdWet",431.7,"Wet",8.180769231,"Cold","Cycling",NA,NA
"LID_103545","LID_103545",2018-07-12,"7","2018","F70","Adult female",191562,"V",11.34520548,135.770491803279,">18","No","Female","Multiparous",0.8,"High","ColdWet",429.7,"Wet",8.207692308,"Cold","L1",NA,NA
"LID_103549","LID_103549",2018-07-11,"7","2018","F64","Adult female",177334,"T3",11.07123288,132.491803278689,">18",NA,"Female",NA,NA,NA,"ColdWet",427.2,"Wet",8.232,"Cold",NA,NA,NA
"LID_103552","LID_103552",2018-07-19,"7","2018","F35","Adult female",173545,"G",22.14520548,265.016393442623,">18","No","Female","Multiparous",1,"High","ColdWet",476.8,"Wet",7.976,"Cold","L2",NA,NA
"LID_103553","LID_103553",2018-07-19,"7","2018","F34","Adult female",187993,"G",10.74246575,128.55737704918,">18",NA,"Female","Multiparous",NA,NA,"ColdWet",476.8,"Wet",7.976,"Cold","Pregnant",NA,NA
"LID_103554","LID_103554",2018-07-17,"7","2018","F63","Adult female",128127,"T3",12.25479452,146.655737704918,">18",NA,"Female",NA,NA,NA,"ColdWet",466.6,"Wet",8.084,"Cold",NA,NA,NA
"LID_103555","LID_103555",2018-07-13,"7","2018","F15","Adult female",969622,"B3",7.997260274,95.7049180327869,">18","No","Female","Primiparous",0.714285714285714,"High","ColdWet",431.7,"Wet",8.180769231,"Cold","L2",NA,NA
"LID_103556","LID_103556",2018-07-18,"7","2018","F4","Adult female",743941,"A",16.77534247,200.754098360656,">18",NA,"Female","Multiparous",NA,NA,"ColdWet",476.6,"Wet",8.028,"Cold","Pregnant",NA,NA
