"","MeanRandom","X.Intercept.","ObservedPair1","Sex1Male","s.AgeMonth1.","s.Ind1.","s.Ind2.","p..Intercept.","p.ObservedPair","p.SexM","p.s.AgeMonth","p.s.Ind1","p.s.Ind2","dev.expl","NbDyads","Type"
"jd3945","0.57255223880597","0.580357826496646","-0.0270579245161228","-0.0165149948523496","1.0000072282031","0.000187654228242268","0.000189587302747703","2.31336771547301e-174","0.0462730001044584","0.228545381026333","0.628128428253073","0.315966470238623","0.590208388823638","1.45862816656941","201","BC"
"jd4945","0.502632482103996","0.507467502890739","-0.0177330369531044","-0.0102299742208018","1.00003850249989","9.45231121301662e-05","0.000514898854483167","4.97763525690628e-208","0.0627477137048132","0.287951461497599","0.310492660072674","0.679639339430791","0.829104612538554","1.48653043298462","201","UU"
"jd5945","0.0646460623588627","0.0655695524757428","-0.00208245975819106","-0.00198296062227833","1.00003724293202","3.84525721951712","0.0018221942646115","1.87479826243715e-138","0.259486899450698","0.333862475871198","0.670507318545848","0.0235379212142188","0.511130054861699","3.55581331148305","201","WU"
"jd1946","397.601990049751","392.651211884224","14.865153479545","10.4752976753005","1.11129683392067","0.00164382783036598","0.00545318791089609","1.77477385527569e-166","0.124433790485307","0.284317042788849","0.562000608360351","0.783659941535682","0.310568520502287","1.14326040818395","201","NumberSharedASV"
"jd2946","59.0070642809246","59.6389623457717","2.25640281438392","-1.33695741094128","1.00006957384102","0.00029797293668486","0.00403208953550639","1.41798805139891e-190","0.0717227476286459","0.290962844414111","0.565528593302975","0.733942059872997","0.165329942781297","1.13609788789236","201","PropSharedASV"
"jd3946","0.577553980099503","0.582972051649844","-0.0313315758469659","-0.0110065803752576","1.458857530302","0.000612891332468845","3.60243484394044","8.53354821302374e-171","0.0216012120214228","0.429939172943699","0.262765689759786","0.213782282858256","0.0178478340664434","5.07531483996253","201","BC"
"jd4946","0.506101852968951","0.511081383584584","-0.0212024301620637","-0.010535481907929","1.00031188323974","0.000247749846066142","0.0014198967662596","1.2398859289787e-211","0.023930876035825","0.266251237577029","0.132408075975573","0.64678791260757","0.175525477135436","2.26354466793593","201","UU"
"jd5946","0.0664151090389578","0.0676578212095113","-0.00380434228897758","-0.00266472737537763","1.42849084140625","0.0036694035452755","1.33182817141074","1.48336638847628e-143","0.0500040726686718","0.176647229167101","0.336005036274527","0.256251675047923","0.0507023833072606","3.15663971270923","201","WU"
"jd1947","406.179104477612","399.255168933009","6.28855212135802","14.6497309165911","1.0002606989668","0.00108812862253953","0.00188978661294256","4.36922864880537e-174","0.500611739871753","0.121425128429064","0.0817869281792533","0.487794399896621","0.239652653447029","1.68348082310476","201","NumberSharedASV"
"jd2947","60.5279785742279","60.9003322492531","0.735522055563716","-0.787799784040887","1.00557926923746","0.000844423902451316","0.00166682289995585","1.50168908025503e-192","0.559635876044126","0.536883705381325","0.089012335067736","0.452373258104838","0.427041881670891","0.855178741181839","201","PropSharedASV"
"jd3947","0.552883582089552","0.558775311287446","-0.0073892809318895","-0.012071672138839","1.0000151573726","1.51004688783175","0.00101026019471577","3.28688488272189e-165","0.585358370116427","0.395414306658713","0.0497253276548253","0.0625397524566623","0.17189907995134","2.47859900046643","201","BC"
"jd4947","0.488327239801899","0.493202148529023","-0.00342789607428141","-0.0103142526118664","1.00000491847796","5.42366565199474e-05","0.000355576224286534","3.10355213393511e-207","0.712096088882691","0.272752429319519","0.0622537500610072","0.188138301302846","0.545790702939565","1.37101974948053","201","UU"
"jd5947","0.0644308226075356","0.0657653876747093","-0.00186709030032896","-0.00282351146773355","1.00009116381209","0.000660746339176674","0.00546452668723888","5.86517795493053e-136","0.352432202845268","0.164875918025935","0.197348205550872","0.233985911344078","0.0854564980831325","1.26113009365538","201","WU"
"jd1948","404.218905472637","398.455734181205","8.24877385439994","12.1938855729522","1.00014692681473","0.00550478964274559","0.00150906484050849","2.2476190234777e-178","0.36240505321281","0.183601100623546","0.141934217538303","0.338311876434931","0.176266881772749","1.34830220103127","201","NumberSharedASV"
"jd2948","60.1177556886115","60.6273367409286","1.14576391093162","-1.0781490554658","1.00080980819673","0.00196524655321657","0.000728885253156688","1.05828885591976e-200","0.336097429201118","0.370988159672774","0.136611946549034","0.394830662423256","0.194057908935841","0.905863952998444","201","PropSharedASV"
"jd3948","0.573851492537313","0.577981997961868","-0.0283570528694275","-0.00873919589022503","1.00101667563765","5.20933910912059e-05","0.000687326643416261","4.0588281423621e-178","0.0315935412666147","0.511530335302219","0.178749035664249","0.185717165464284","0.316323041480528","1.77939116241144","201","BC"
"jd4948","0.49637598077947","0.499947661913104","-0.0114765379288838","-0.00755698111438632","1.00023900520095","9.36657625628479e-05","0.000752100540264791","4.71478241096941e-217","0.194996036269115","0.398719328596827","0.189962818510235","0.402821164398776","0.421059589684266","1.11755550584224","201","UU"
"jd5948","0.0657779814503318","0.0671701162799566","-0.00321437768964607","-0.00294546777783915","1.0841336720561","0.0185081499893897","0.000558873860182145","7.81438439566868e-145","0.0948938692468436","0.130477133952084","0.107165228249872","0.106503080238263","0.147662786630101","2.24754095623063","201","WU"
"jd1949","394.47263681592","379.613135998387","17.9950426976393","31.4399306923039","1.00011404347115","0.00114571156074195","0.00257958895333895","2.78773426860543e-159","0.0672965128836443","0.00165315489821239","0.705664730599274","0.674450009258055","0.821186150523873","3.42390585355533","201","NumberSharedASV"
"jd2949","58.5721020955409","57.7667930758493","2.6914190182057","1.70391119695582","1.00017409815851","0.00195057884189057","0.0020348285957676","1.34344212457473e-176","0.0432334338340517","0.205239154422225","0.728895355151521","0.480958830531754","0.437299880986275","1.4887890435334","201","PropSharedASV"
